Time;Temp Winding;Mvar;MW
21/01/2025 14.59;69,95263672;32,43085098;125,7430573
21/01/2025 15.00;69,99616241;32,48136902;125,5679703
21/01/2025 15.01;69,98779297;30,01557159;125,8205719
21/01/2025 15.02;70,01564789;29,68638802;123,8878479
21/01/2025 15.03;69,98779297;31,25053787;123,8381653
21/01/2025 15.04;69,98779297;32,3788681;123,5596619
21/01/2025 15.05;69,95973969;32,80552292;124,3982925
21/01/2025 15.06;69,90394592;31,43245125;125,3858643
21/01/2025 15.07;69,91728973;32,79359436;125,1149673
21/01/2025 15.08;69,95954895;31,97859955;125,4228821
21/01/2025 15.09;69,91796875;30,55090523;124,8058548
21/01/2025 15.10;69,9526825;31,30384636;124,6121063
21/01/2025 15.11;69,93894958;31,78204536;127,7131424
21/01/2025 15.12;69,92546082;30,88879395;127,4961777
21/01/2025 15.13;69,98779297;30,34853554;125,9544754
21/01/2025 15.14;69,98029327;33,02412796;125,7300034
21/01/2025 15.15;70,02304077;31,83716965;125,9333344
21/01/2025 15.16;70,00191498;33,05020905;124,9325256
21/01/2025 15.17;70,03662872;32,61219788;125,5918732
21/01/2025 15.18;70,07235718;31,79391289;125,718605
21/01/2025 15.19;70,00123596;30,1402626;125,5092773
21/01/2025 15.20;70,03662872;30,15616989;123,8288193
21/01/2025 15.21;69,98073578;31,17104149;127,7301865
21/01/2025 15.22;70,0717392;31,32897568;125,7191467
21/01/2025 15.23;70,0501709;30,41628647;124,8760757
21/01/2025 15.24;70,03662872;31,32192802;125,3730392
21/01/2025 15.25;70,10665131;29,21369553;125,8390045
21/01/2025 15.26;70,08547211;31,22573471;125,5289001
21/01/2025 15.27;70,05054474;31,74321175;126,0967407
21/01/2025 15.28;70,05056;31,1780262;125,99543
21/01/2025 15.29;70,01525879;28,81476593;123,3454742
21/01/2025 15.30;70,06360626;33,67724609;125,4305649
21/01/2025 15.31;70,07198334;32,76674652;126,2572174
21/01/2025 15.32;70,05065918;31,24362946;125,5443649
21/01/2025 15.33;70,07167816;29,50096512;123,144165
21/01/2025 15.34;70,07183838;31,31289482;125,2484818
21/01/2025 15.35;70,02250671;30,25641823;125,3539581
21/01/2025 15.36;70,0227356;31,43283463;125,4479141
21/01/2025 15.37;69,96631622;31,90689468;126,0476532
21/01/2025 15.38;70,02371979;27,71251869;125,0041885
21/01/2025 15.39;70,0086441;31,11095047;124,4117584
21/01/2025 15.40;70,00157166;33,05621719;126,2937088
21/01/2025 15.41;69,98779297;27,38515854;125,0584717
21/01/2025 15.42;69,97425079;31,42196274;124,6619186
21/01/2025 15.43;70,00847626;29,13986206;124,8342285
21/01/2025 15.44;69,97396088;31,22554779;125,5884781
21/01/2025 15.45;69,91738129;31,05262947;126,964119
21/01/2025 15.46;69,93894958;32,29618835;126,2092743
21/01/2025 15.47;70,02270508;29,83287239;126,1674957
21/01/2025 15.48;69,98779297;29,09725952;121,8437119
21/01/2025 15.49;69,98779297;29,10082817;123,628624
21/01/2025 15.50;69,98779297;30,47849464;125,7597427
